id,liveness,loudness,analysis_url,valence,mode,speechiness,tempo,key,type,acousticness,time_signature,uri,energy,track_href,duration_ms,danceability,instrumentalness
1RJeiAIwR9pZBgJA8ndZLL,0.295,-7.384,https://api.spotify.com/v1/audio-analysis/1RJeiAIwR9pZBgJA8ndZLL,0.764,0,0.101,159.669,5,audio_features,0.0103,4,spotify:track:1RJeiAIwR9pZBgJA8ndZLL,0.836,https://api.spotify.com/v1/tracks/1RJeiAIwR9pZBgJA8ndZLL,204480,0.505,0.0771
3QHThjKGMW7y89xIEvB0J4,0.063,-11.741,https://api.spotify.com/v1/audio-analysis/3QHThjKGMW7y89xIEvB0J4,0.694,1,0.0283,114.453,4,audio_features,0.244,4,spotify:track:3QHThjKGMW7y89xIEvB0J4,0.473,https://api.spotify.com/v1/tracks/3QHThjKGMW7y89xIEvB0J4,308800,0.698,0.211
0CzeAbfKFnxnWjwo5iYiCG,0.183,-13.904,https://api.spotify.com/v1/audio-analysis/0CzeAbfKFnxnWjwo5iYiCG,0.144,0,0.0277,79.273,8,audio_features,0.531,4,spotify:track:0CzeAbfKFnxnWjwo5iYiCG,0.296,https://api.spotify.com/v1/tracks/0CzeAbfKFnxnWjwo5iYiCG,424000,0.413,0.801
3Ud6fFep5ZlXzRWw6Sm8no,0.126,-8.507,https://api.spotify.com/v1/audio-analysis/3Ud6fFep5ZlXzRWw6Sm8no,0.802,1,0.0959,172.427,4,audio_features,0.405,4,spotify:track:3Ud6fFep5ZlXzRWw6Sm8no,0.918,https://api.spotify.com/v1/tracks/3Ud6fFep5ZlXzRWw6Sm8no,249960,0.462,0.00033
37Tmv4NnfQeb0ZgUC4fOJj,0.33,-10.023,https://api.spotify.com/v1/audio-analysis/37Tmv4NnfQeb0ZgUC4fOJj,0.931,1,0.0307,148.174,5,audio_features,0.0614,4,spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,0.794,https://api.spotify.com/v1/tracks/37Tmv4NnfQeb0ZgUC4fOJj,348624,0.733,0.0367
0vlCOzte4bru0gK74lfUIJ,0.109,-11.859,https://api.spotify.com/v1/audio-analysis/0vlCOzte4bru0gK74lfUIJ,0.898,0,0.0456,146.556,9,audio_features,0.22,4,spotify:track:0vlCOzte4bru0gK74lfUIJ,0.655,https://api.spotify.com/v1/tracks/0vlCOzte4bru0gK74lfUIJ,324200,0.679,0.0198
5MMnwYs0hIxkENRsbkWJ2G,0.112,-9.211,https://api.spotify.com/v1/audio-analysis/5MMnwYs0hIxkENRsbkWJ2G,0.805,1,0.0279,114.169,0,audio_features,0.13,4,spotify:track:5MMnwYs0hIxkENRsbkWJ2G,0.676,https://api.spotify.com/v1/tracks/5MMnwYs0hIxkENRsbkWJ2G,340742,0.598,0.225
3fqwjXwUGN6vbzIwvyFMhx,0.0821,-10.888,https://api.spotify.com/v1/audio-analysis/3fqwjXwUGN6vbzIwvyFMhx,0.512,1,0.0298,48.718,9,audio_features,0.205,4,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,0.37,https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx,293293,0.392,0.0096
2iSXgduBpKrwJuQcuybkxP,0.0791,-9.72,https://api.spotify.com/v1/audio-analysis/2iSXgduBpKrwJuQcuybkxP,0.927,1,0.348,76.518,10,audio_features,0.0912,4,spotify:track:2iSXgduBpKrwJuQcuybkxP,0.515,https://api.spotify.com/v1/tracks/2iSXgduBpKrwJuQcuybkxP,172933,0.719,0.0
148BGy6HUPaY0crdLsgGOL,0.117,-5.443,https://api.spotify.com/v1/audio-analysis/148BGy6HUPaY0crdLsgGOL,0.433,1,0.0421,100.44,1,audio_features,0.000652,4,spotify:track:148BGy6HUPaY0crdLsgGOL,0.94,https://api.spotify.com/v1/tracks/148BGy6HUPaY0crdLsgGOL,367267,0.441,0.00129
0V7k2JgK1H4m0rTe8SoFg1,0.0624,-10.627,https://api.spotify.com/v1/audio-analysis/0V7k2JgK1H4m0rTe8SoFg1,0.0432,0,0.0376,76.048,2,audio_features,0.0428,4,spotify:track:0V7k2JgK1H4m0rTe8SoFg1,0.571,https://api.spotify.com/v1/tracks/0V7k2JgK1H4m0rTe8SoFg1,979667,0.401,0.176
1xADYlM5rjnbJvAW2tc0qF,0.0895,-10.713,https://api.spotify.com/v1/audio-analysis/1xADYlM5rjnbJvAW2tc0qF,0.39,0,0.052,79.647,9,audio_features,0.894,4,spotify:track:1xADYlM5rjnbJvAW2tc0qF,0.35,https://api.spotify.com/v1/tracks/1xADYlM5rjnbJvAW2tc0qF,173267,0.52,0.000778
2N2yrmodOnVF10mKvItC9P,0.104,-8.638,https://api.spotify.com/v1/audio-analysis/2N2yrmodOnVF10mKvItC9P,0.243,1,0.0327,124.635,11,audio_features,0.00182,4,spotify:track:2N2yrmodOnVF10mKvItC9P,0.59,https://api.spotify.com/v1/tracks/2N2yrmodOnVF10mKvItC9P,283733,0.456,0.00379
6BOpSVtTxkK4zeXTOadUBH,0.355,-8.293,https://api.spotify.com/v1/audio-analysis/6BOpSVtTxkK4zeXTOadUBH,0.168,1,0.034,89.165,11,audio_features,0.0121,4,spotify:track:6BOpSVtTxkK4zeXTOadUBH,0.775,https://api.spotify.com/v1/tracks/6BOpSVtTxkK4zeXTOadUBH,563893,0.362,0.376
3YRCqOhFifThpSRFJ1VWFM,0.112,-9.316,https://api.spotify.com/v1/audio-analysis/3YRCqOhFifThpSRFJ1VWFM,0.226,1,0.0291,79.759,11,audio_features,0.0163,4,spotify:track:3YRCqOhFifThpSRFJ1VWFM,0.641,https://api.spotify.com/v1/tracks/3YRCqOhFifThpSRFJ1VWFM,536067,0.294,0.22
3YBZIN3rekqsKxbJc9FZko,0.142,-8.762,https://api.spotify.com/v1/audio-analysis/3YBZIN3rekqsKxbJc9FZko,0.475,1,0.0841,100.269,11,audio_features,0.0169,4,spotify:track:3YBZIN3rekqsKxbJc9FZko,0.952,https://api.spotify.com/v1/tracks/3YBZIN3rekqsKxbJc9FZko,405640,0.273,0.0112
0eFvoRSTTaR2q8bSWVjwfp,0.313,-4.869,https://api.spotify.com/v1/audio-analysis/0eFvoRSTTaR2q8bSWVjwfp,0.327,0,0.112,123.411,10,audio_features,0.0301,4,spotify:track:0eFvoRSTTaR2q8bSWVjwfp,0.978,https://api.spotify.com/v1/tracks/0eFvoRSTTaR2q8bSWVjwfp,271867,0.456,0.499
63JIZfWgk8RfqtodNGI0w2,0.35,-17.765,https://api.spotify.com/v1/audio-analysis/63JIZfWgk8RfqtodNGI0w2,0.567,0,0.0424,98.955,11,audio_features,0.777,4,spotify:track:63JIZfWgk8RfqtodNGI0w2,0.396,https://api.spotify.com/v1/tracks/63JIZfWgk8RfqtodNGI0w2,350867,0.729,0.597
4JAJV4D2902ZQL4A63Q2fe,0.215,-5.433,https://api.spotify.com/v1/audio-analysis/4JAJV4D2902ZQL4A63Q2fe,0.367,1,0.0295,71.515,4,audio_features,0.151,4,spotify:track:4JAJV4D2902ZQL4A63Q2fe,0.662,https://api.spotify.com/v1/tracks/4JAJV4D2902ZQL4A63Q2fe,353027,0.428,1.84e-06
4bHsxqR3GMrXTxEPLuK5ue,0.447,-9.072,https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue,0.514,1,0.0363,118.852,4,audio_features,0.127,4,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,0.748,https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue,250987,0.5,0.0
6zeE5tKyr8Nu882DQhhSQI,0.11,-10.687,https://api.spotify.com/v1/audio-analysis/6zeE5tKyr8Nu882DQhhSQI,0.387,1,0.0283,93.503,7,audio_features,0.367,4,spotify:track:6zeE5tKyr8Nu882DQhhSQI,0.322,https://api.spotify.com/v1/tracks/6zeE5tKyr8Nu882DQhhSQI,206267,0.475,0.00056
0xx4xX4IBocqmocyziPOXK,0.109,-10.911,https://api.spotify.com/v1/audio-analysis/0xx4xX4IBocqmocyziPOXK,0.381,1,0.0472,135.195,2,audio_features,0.242,4,spotify:track:0xx4xX4IBocqmocyziPOXK,0.466,https://api.spotify.com/v1/tracks/0xx4xX4IBocqmocyziPOXK,295733,0.493,0.00013
2XRCxFtPqSsnY94jZCFuYu,0.118,-5.506,https://api.spotify.com/v1/audio-analysis/2XRCxFtPqSsnY94jZCFuYu,0.285,1,0.05,142.215,0,audio_features,0.584,5,spotify:track:2XRCxFtPqSsnY94jZCFuYu,0.672,https://api.spotify.com/v1/tracks/2XRCxFtPqSsnY94jZCFuYu,283467,0.399,2.45e-05
6RFkVsPmrM4pzlDkFswwJl,0.115,-8.227,https://api.spotify.com/v1/audio-analysis/6RFkVsPmrM4pzlDkFswwJl,0.845,0,0.115,82.228,5,audio_features,0.868,4,spotify:track:6RFkVsPmrM4pzlDkFswwJl,0.485,https://api.spotify.com/v1/tracks/6RFkVsPmrM4pzlDkFswwJl,158573,0.617,3.44e-05
2XW4DbS6NddZxRPm5rMCeY,0.558,-9.441,https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY,0.373,1,0.103,77.176,7,audio_features,0.0309,4,spotify:track:2XW4DbS6NddZxRPm5rMCeY,0.448,https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY,198960,0.758,8.67e-05
7wMq5n8mYSKlQIGECKUgTX,0.123,-4.343,https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX,0.63,1,0.0565,84.803,10,audio_features,0.0653,4,spotify:track:7wMq5n8mYSKlQIGECKUgTX,0.873,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,202533,0.421,0.0
222dTwr5XeEgAzEtsrQA0R,0.803,-3.683,https://api.spotify.com/v1/audio-analysis/222dTwr5XeEgAzEtsrQA0R,0.453,1,0.158,146.324,11,audio_features,0.152,4,spotify:track:222dTwr5XeEgAzEtsrQA0R,0.782,https://api.spotify.com/v1/tracks/222dTwr5XeEgAzEtsrQA0R,343032,0.688,0.0
5NkhS6Y4hvPZEHCtV44h93,0.34,-4.489,https://api.spotify.com/v1/audio-analysis/5NkhS6Y4hvPZEHCtV44h93,0.341,0,0.0642,80.016,4,audio_features,0.00173,4,spotify:track:5NkhS6Y4hvPZEHCtV44h93,0.76,https://api.spotify.com/v1/tracks/5NkhS6Y4hvPZEHCtV44h93,220468,0.303,1.98e-05
3NLrRZoMF0Lx6zTlYqeIo4,0.205,-6.817,https://api.spotify.com/v1/audio-analysis/3NLrRZoMF0Lx6zTlYqeIo4,0.233,0,0.0252,143.994,10,audio_features,0.0492,4,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,0.533,https://api.spotify.com/v1/tracks/3NLrRZoMF0Lx6zTlYqeIo4,238733,0.557,0.0
39SaQTG5iiVGzQ4gWkpfRy,0.214,-8.32,https://api.spotify.com/v1/audio-analysis/39SaQTG5iiVGzQ4gWkpfRy,0.941,1,0.0929,175.306,8,audio_features,0.784,4,spotify:track:39SaQTG5iiVGzQ4gWkpfRy,0.646,https://api.spotify.com/v1/tracks/39SaQTG5iiVGzQ4gWkpfRy,101801,0.492,0.0
54eZmuggBFJbV7k248bTTt,0.155,-17.18,https://api.spotify.com/v1/audio-analysis/54eZmuggBFJbV7k248bTTt,0.831,0,0.0535,123.179,11,audio_features,0.686,4,spotify:track:54eZmuggBFJbV7k248bTTt,0.506,https://api.spotify.com/v1/tracks/54eZmuggBFJbV7k248bTTt,252240,0.654,0.0155
61Q9oJNd9hJQFhSDh6Qlap,0.101,-7.552,https://api.spotify.com/v1/audio-analysis/61Q9oJNd9hJQFhSDh6Qlap,0.283,0,0.031,116.891,9,audio_features,0.000825,3,spotify:track:61Q9oJNd9hJQFhSDh6Qlap,0.534,https://api.spotify.com/v1/tracks/61Q9oJNd9hJQFhSDh6Qlap,269720,0.315,0.108
28cnXtME493VX9NOw9cIUh,0.0948,-7.636,https://api.spotify.com/v1/audio-analysis/28cnXtME493VX9NOw9cIUh,0.163,0,0.0267,90.379,9,audio_features,0.649,4,spotify:track:28cnXtME493VX9NOw9cIUh,0.392,https://api.spotify.com/v1/tracks/28cnXtME493VX9NOw9cIUh,216533,0.534,0.000227
7hxZF4jETnE5Q75rKQnMjE,0.0967,-14.59,https://api.spotify.com/v1/audio-analysis/7hxZF4jETnE5Q75rKQnMjE,0.56,1,0.0384,98.805,9,audio_features,0.877,4,spotify:track:7hxZF4jETnE5Q75rKQnMjE,0.258,https://api.spotify.com/v1/tracks/7hxZF4jETnE5Q75rKQnMjE,176533,0.713,0.00606
4RbgFlvnCoO8JmzBCxCTwu,0.096,-3.961,https://api.spotify.com/v1/audio-analysis/4RbgFlvnCoO8JmzBCxCTwu,0.251,1,0.0436,145.546,2,audio_features,0.072,4,spotify:track:4RbgFlvnCoO8JmzBCxCTwu,0.801,https://api.spotify.com/v1/tracks/4RbgFlvnCoO8JmzBCxCTwu,346387,0.343,0.0
7DQ6ACGHwmBK52Z9op8ld0,0.0379,-8.131,https://api.spotify.com/v1/audio-analysis/7DQ6ACGHwmBK52Z9op8ld0,0.848,1,0.0499,164.233,1,audio_features,0.0328,4,spotify:track:7DQ6ACGHwmBK52Z9op8ld0,0.711,https://api.spotify.com/v1/tracks/7DQ6ACGHwmBK52Z9op8ld0,210400,0.744,2.82e-05
0v1XpBHnsbkCn7iJ9Ucr1l,0.347,-4.063,https://api.spotify.com/v1/audio-analysis/0v1XpBHnsbkCn7iJ9Ucr1l,0.544,0,0.0466,119.992,0,audio_features,0.0263,4,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,0.913,https://api.spotify.com/v1/tracks/0v1XpBHnsbkCn7iJ9Ucr1l,224493,0.551,1.35e-05
62nQ8UZVqR2RMvkJHkcO2o,0.182,-6.472,https://api.spotify.com/v1/audio-analysis/62nQ8UZVqR2RMvkJHkcO2o,0.287,1,0.0438,108.808,2,audio_features,0.0404,4,spotify:track:62nQ8UZVqR2RMvkJHkcO2o,0.846,https://api.spotify.com/v1/tracks/62nQ8UZVqR2RMvkJHkcO2o,318227,0.285,0.0
2SpEHTbUuebeLkgs9QB7Ue,0.131,-10.971,https://api.spotify.com/v1/audio-analysis/2SpEHTbUuebeLkgs9QB7Ue,0.809,0,0.0363,110.578,1,audio_features,0.566,4,spotify:track:2SpEHTbUuebeLkgs9QB7Ue,0.537,https://api.spotify.com/v1/tracks/2SpEHTbUuebeLkgs9QB7Ue,161533,0.674,0.0
2jyjhRf6DVbMPU5zxagN2h,0.104,-7.335,https://api.spotify.com/v1/audio-analysis/2jyjhRf6DVbMPU5zxagN2h,0.244,1,0.0572,75.089,7,audio_features,0.385,4,spotify:track:2jyjhRf6DVbMPU5zxagN2h,0.538,https://api.spotify.com/v1/tracks/2jyjhRf6DVbMPU5zxagN2h,252867,0.509,0.0
0J6mQxEZnlRt9ymzFntA6z,0.325,-3.777,https://api.spotify.com/v1/audio-analysis/0J6mQxEZnlRt9ymzFntA6z,0.72,1,0.0345,122.494,0,audio_features,0.0768,4,spotify:track:0J6mQxEZnlRt9ymzFntA6z,0.887,https://api.spotify.com/v1/tracks/0J6mQxEZnlRt9ymzFntA6z,249293,0.534,9.93e-05
5ftQSVAHs7iqULWKQn0fjK,0.121,-5.278,https://api.spotify.com/v1/audio-analysis/5ftQSVAHs7iqULWKQn0fjK,0.596,1,0.0425,81.045,4,audio_features,0.0016,4,spotify:track:5ftQSVAHs7iqULWKQn0fjK,0.679,https://api.spotify.com/v1/tracks/5ftQSVAHs7iqULWKQn0fjK,181880,0.638,0.00655
0S3gpZzlT9Hb7CCSV2owX7,0.0892,-6.557,https://api.spotify.com/v1/audio-analysis/0S3gpZzlT9Hb7CCSV2owX7,0.242,1,0.0302,139.352,8,audio_features,0.0105,4,spotify:track:0S3gpZzlT9Hb7CCSV2owX7,0.656,https://api.spotify.com/v1/tracks/0S3gpZzlT9Hb7CCSV2owX7,251867,0.282,0.0
48RrDBpOSSl1aLVCalGl5C,0.12,-3.68,https://api.spotify.com/v1/audio-analysis/48RrDBpOSSl1aLVCalGl5C,0.624,0,0.0715,110.049,1,audio_features,0.0525,4,spotify:track:48RrDBpOSSl1aLVCalGl5C,0.853,https://api.spotify.com/v1/tracks/48RrDBpOSSl1aLVCalGl5C,250189,0.781,0.0
17baAghWcrewNOcc9dCewx,0.13,-3.892,https://api.spotify.com/v1/audio-analysis/17baAghWcrewNOcc9dCewx,0.228,0,0.276,83.808,4,audio_features,0.21,4,spotify:track:17baAghWcrewNOcc9dCewx,0.672,https://api.spotify.com/v1/tracks/17baAghWcrewNOcc9dCewx,251267,0.621,0.0
2dpQqMMQws3xjAX4bKD9Rg,0.33,-10.113,https://api.spotify.com/v1/audio-analysis/2dpQqMMQws3xjAX4bKD9Rg,0.606,1,0.0527,172.775,5,audio_features,0.698,4,spotify:track:2dpQqMMQws3xjAX4bKD9Rg,0.468,https://api.spotify.com/v1/tracks/2dpQqMMQws3xjAX4bKD9Rg,326293,0.416,0.0
6txWz9UapYHVxEd7dDIHXT,0.255,-9.342,https://api.spotify.com/v1/audio-analysis/6txWz9UapYHVxEd7dDIHXT,0.566,1,0.0316,148.117,9,audio_features,0.619,4,spotify:track:6txWz9UapYHVxEd7dDIHXT,0.476,https://api.spotify.com/v1/tracks/6txWz9UapYHVxEd7dDIHXT,217107,0.389,5.09e-05
3G69vJMWsX6ZohTykad2AU,0.155,-8.793,https://api.spotify.com/v1/audio-analysis/3G69vJMWsX6ZohTykad2AU,0.325,1,0.0369,181.305,0,audio_features,0.245,4,spotify:track:3G69vJMWsX6ZohTykad2AU,0.534,https://api.spotify.com/v1/tracks/3G69vJMWsX6ZohTykad2AU,276187,0.392,0.00104
6Hgh47WXVKtXN5zGOu0hjI,0.106,-6.183,https://api.spotify.com/v1/audio-analysis/6Hgh47WXVKtXN5zGOu0hjI,0.28,1,0.0541,72.989,2,audio_features,0.183,4,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,0.678,https://api.spotify.com/v1/tracks/6Hgh47WXVKtXN5zGOu0hjI,263014,0.652,3.26e-05
77UjLW8j5UAGAGVGhR5oUK,0.111,-4.979,https://api.spotify.com/v1/audio-analysis/77UjLW8j5UAGAGVGhR5oUK,0.188,1,0.093,100.584,2,audio_features,0.0762,4,spotify:track:77UjLW8j5UAGAGVGhR5oUK,0.677,https://api.spotify.com/v1/tracks/77UjLW8j5UAGAGVGhR5oUK,211440,0.735,2.17e-05
6r027Faonff84hxFMjMbIH,0.849,-2.666,https://api.spotify.com/v1/audio-analysis/6r027Faonff84hxFMjMbIH,0.649,1,0.324,148.102,7,audio_features,0.38,4,spotify:track:6r027Faonff84hxFMjMbIH,0.849,https://api.spotify.com/v1/tracks/6r027Faonff84hxFMjMbIH,363973,0.708,0.0
3yfqSUWxFvZELEM4PmlwIR,0.0454,-4.244,https://api.spotify.com/v1/audio-analysis/3yfqSUWxFvZELEM4PmlwIR,0.76,0,0.0572,104.504,5,audio_features,0.0302,4,spotify:track:3yfqSUWxFvZELEM4PmlwIR,0.661,https://api.spotify.com/v1/tracks/3yfqSUWxFvZELEM4PmlwIR,284200,0.949,0.0
1lHtE5JDCas1EwXhQIMOIj,0.152,-4.683,https://api.spotify.com/v1/audio-analysis/1lHtE5JDCas1EwXhQIMOIj,0.0695,1,0.0294,82.904,4,audio_features,0.0127,4,spotify:track:1lHtE5JDCas1EwXhQIMOIj,0.668,https://api.spotify.com/v1/tracks/1lHtE5JDCas1EwXhQIMOIj,232800,0.447,0.0
3qoFdhS8hFq2m0v5pzAf0H,0.323,-3.372,https://api.spotify.com/v1/audio-analysis/3qoFdhS8hFq2m0v5pzAf0H,0.721,1,0.0399,144.084,0,audio_features,0.0495,4,spotify:track:3qoFdhS8hFq2m0v5pzAf0H,0.908,https://api.spotify.com/v1/tracks/3qoFdhS8hFq2m0v5pzAf0H,255800,0.621,0.0
4x3qqSA4cP49oZQXPLnDBe,0.151,-4.438,https://api.spotify.com/v1/audio-analysis/4x3qqSA4cP49oZQXPLnDBe,0.387,0,0.0837,83.469,2,audio_features,0.0082,4,spotify:track:4x3qqSA4cP49oZQXPLnDBe,0.868,https://api.spotify.com/v1/tracks/4x3qqSA4cP49oZQXPLnDBe,228533,0.408,0.0
52vA3CYKZqZVdQnzRrdZt6,0.0828,-7.999,https://api.spotify.com/v1/audio-analysis/52vA3CYKZqZVdQnzRrdZt6,0.585,1,0.0332,171.86,7,audio_features,0.887,3,spotify:track:52vA3CYKZqZVdQnzRrdZt6,0.396,https://api.spotify.com/v1/tracks/52vA3CYKZqZVdQnzRrdZt6,192053,0.389,0.0
7HPhrbgMHV5cUskknWA2oo,0.0931,-3.941,https://api.spotify.com/v1/audio-analysis/7HPhrbgMHV5cUskknWA2oo,0.228,1,0.0319,149.045,8,audio_features,1.64e-05,4,spotify:track:7HPhrbgMHV5cUskknWA2oo,0.818,https://api.spotify.com/v1/tracks/7HPhrbgMHV5cUskknWA2oo,366400,0.422,0.0137
